FLIGHT_ID,P64: Duration of Takeoff (Seconds),HEAD_WIND,MSL_ALT,MACH_NUMBER_START_EVENT,DRAG,LIFT,FUEL_QUANTITY,FUELFLOW_START_EVENT,THRUST_START_EVENT,P64  Wind Speed at Start of Event (library) (knots),P64  Wind Direction (true) at Start of Event (library) (degrees),P64  Mean Longitudinal Acceleration over succeeding interval from Start of Event (g's),P64  Mean Vertical (body normal) Acceleration over succeeding interval from Start of Event (g's),P64  Longitudinal Acceleration at Start of Event (g's),P64  Vertical (body normal) Acceleration at Start of Event (library) (g's),P64  Mean Normal-Load Factor over succeeding interval from Start of Event (g's),P64  Drag (expected clean configuration) at Start of Event (lbs),P64  Lift Expected at Start of Event (lbs),P64  Gross Weight at Start of Event (library) (kg),P64  Corrected MSL Altitude at Start of Event (library) (feet),P64  Pressure Altitude (above MSL) at Start of Event (library) (feet),P64  GPS Altitude (above MSL) at Start of Event (library) (feet),P64  Density Altitude at Start of Event (ft),P64  Geometric Altitude (above MSL) at Start of Event (library) (feet),P64  Radio Altitude at Start of Event (ft),P64  Height AGL at Start of Event (feet),P64  Height AGL at Start of Event (library) (feet),P64  Height Above Takeoff (best estimate library) at Start of Event (feet),P64  Height AFE at Start of Event (library) (feet),P64  Flap Position at Start of Event (library) (deg+   TED),P64  Slat Position at Start of Event (library) (deg+   LED),P64  Slats Retracted (boolean) at Start of Event (library) (0   retracted),P64  Spoiler Position Average (all spoilers; +  TEU) at Start of Event (degrees),P64  Spoiler Position Average (left; +  TEU) at Start of Event (deg+ TEU),P64  Spoiler Position Average (right; +  TEU) at Start of Event (deg+ TEU),P64  Elevator Position at Start of Event (deg+ TEU),DISTANCE_FROM_RUNWAY_END,AIRPORT,AIRCRAFT_TYPE,RUNWAY,STAGE,PREDICTED_N1,ERROR,N1
1035122,46.75,-3.454913,44.25,0.254696,21498.05664,464287.375,43944.03906,19573.41797,377388.2188,3.5,291.445313,0.272639,0.092767,0.267561,0.052731,1.044204,21498.05664,464287.375,212843.7344,52.069611,203.0,44.25,2075.275391,61.428761,1.125,1.124218,1.124218,1.756054,1.756054,14.25,20.75,1.0,0.254884,0.175782,0.158204,6.196315,8772.781031,LSZH,A330,12R,5,84.50994,0.5399736949475911,84.96875
1149510,45.25,-1.632917,687.375,0.227912,35767.04297,522694.25,61026.32813,17352.62695,445193.75,1.9375,57.480453,0.263672,0.072266,0.257813,0.064453,1.025608,35767.04297,522694.25,233196.1094,675.472534,443.0,687.375,-637.251648,660.83728,1.75,1.748378,1.748378,4.498546,4.498546,22.25,23.75,1.0,0.197754,0.205078,0.19043,13.447262,6969.386658,LSZH,A340,28,6,88.666534,0.5342930455137976,88.195313
1030184,33.375,8.680867,32.5,0.229152,18868.8125,363438.25,12918.31445,15599.94922,312303.0625,5.0,305.859375,0.297637,0.291974,0.285138,0.261702,1.190028,18868.8125,363438.25,150810.4375,41.465485,77.0,32.5,1699.00354,34.749413,4.0,11.129239,11.129239,2.012075,2.012075,14.25,20.75,1.0,0.254884,0.175782,0.158204,8.305699,7693.969393,OOMS,A330,30R,1,78.30456,1.1150019885803077,79.1875
1129523,39.25,-6.187863,155.625,0.223448,27427.60742,429838.3125,31021.11133,18804.12109,429308.2813,6.25,293.642517,0.283594,0.133789,0.279297,0.107422,1.118056,27427.60742,429838.3125,191599.9531,134.985489,127.0,155.625,822.379517,123.589523,3.375,3.370835,3.370835,7.662569,7.662569,22.25,23.75,1.0,0.146484,0.175781,0.117188,9.096678,6478.322333,LSZH,A340,12,4,86.209015,6.206937133680919,91.914063
1003317,46.75,-8.829752,1419.25,0.259904,26012.76758,482057.5313,52816.30859,20037.89648,458311.8438,9.0,323.4375,0.296075,0.155263,0.287091,0.105462,1.088906,26012.76758,482057.5313,214912.125,1404.085938,1386.0,1419.25,657.131714,1387.994995,1.875,1.873143,1.873143,5.182343,5.182343,14.25,20.75,1.0,0.254884,0.175782,0.158204,6.899444,8174.436549,VABB,A330,16,6,86.24357,1.9126362427298746,84.625
1147818,44.875,-1.499894,44.875,0.238328,25083.93945,460836.75,48371.10156,18477.53906,416356.4063,1.5,211.289063,0.291778,0.098626,0.294903,0.03906,1.081528,25083.93945,460836.75,208071.9531,29.146116,-194.0,44.875,-515.658325,13.61113,0.625,0.627006,0.627006,5.356164,5.356164,14.25,20.75,1.0,0.254884,0.175782,0.158204,7.558626,7312.150343,LSGG,A330,04L,5,81.62668,0.017082834928229665,81.640625
1147982,41.25,-17.093296,153.625,0.223987,24594.07031,394461.5313,27650.99219,18655.34375,396434.6875,17.09375,303.398346,0.284766,0.12207,0.291016,0.103516,1.06467,24594.07031,394461.5313,182961.0313,136.879013,52.0,153.625,1132.175903,125.207314,3.5,3.495819,3.495819,7.274292,7.274292,14.25,20.75,1.0,0.149414,0.158203,0.140625,7.558594,7208.006652,LSZH,A330,12,4,87.09672,0.4253315218604859,87.46875
1010763,39.375,-10.803887,1405.0,0.237847,29736.48633,449119.6563,56390.60547,20164.89844,483163.625,10.9375,326.074127,0.296484,0.126953,0.287109,0.072266,1.134983,29736.48633,449119.6563,199508.0781,1404.43103,939.0,1405.0,-329.03067,1391.386963,3.125,5.125517,5.125517,1.599903,1.599903,14.25,20.75,1.0,0.140625,0.158203,0.123047,7.866212,6022.280797,HKJK,A330,16,5,86.13574,1.9966666666666668,87.890625
1130383,50.375,-11.331076,1419.75,0.235104,35665.98047,539516.3125,72854.25781,19103.49414,469653.6563,11.4375,343.564362,0.283203,0.029297,0.285156,0.019531,1.050781,35665.98047,539516.3125,248561.125,1398.892578,1344.0,1419.75,877.704529,1387.201172,-0.125,0.0,0.0,0.201742,0.201742,22.25,23.75,1.0,0.183105,0.205078,0.161133,12.084958,8099.031967,KORD,A340,16,6,90.91302,1.9723178485402781,92.742188
1122771,35.875,-8.145751,1405.75,0.23064,9764.017578,145217.7813,8159.632813,7083.144043,146376.6719,8.155728,134.384735,0.307227,0.154297,0.304688,0.121094,1.220486,9764.017578,145217.7813,64156.10938,1419.37207,1304.0,1405.75,1454.342163,1405.421997,2.125,2.125,3.008226,2.244092,2.244092,14.911794,22.004751,1.0,0.0,0.0,0.0,8.437501,5236.93499,EGLL,A319/20/21,32,1,80.25092,7.658053181746674,86.90625
