FLIGHT_ID,P64: Duration of Takeoff (Seconds),HEAD_WIND,MSL_ALT,MACH_NUMBER_START_EVENT,DRAG,LIFT,FUEL_QUANTITY,FUELFLOW_START_EVENT,N1,THRUST_START_EVENT,P64  Wind Speed at Start of Event (library) (knots),P64  Wind Direction (true) at Start of Event (library) (degrees),P64  Mean Longitudinal Acceleration over succeeding interval from Start of Event (g's),P64  Mean Vertical (body normal) Acceleration over succeeding interval from Start of Event (g's),P64  Longitudinal Acceleration at Start of Event (g's),P64  Vertical (body normal) Acceleration at Start of Event (library) (g's),P64  Mean Normal-Load Factor over succeeding interval from Start of Event (g's),P64  Drag (expected clean configuration) at Start of Event (lbs),P64  Lift Expected at Start of Event (lbs),P64  Gross Weight at Start of Event (library) (kg),P64  Corrected MSL Altitude at Start of Event (library) (feet),P64  Pressure Altitude (above MSL) at Start of Event (library) (feet),P64  GPS Altitude (above MSL) at Start of Event (library) (feet),P64  Density Altitude at Start of Event (ft),P64  Geometric Altitude (above MSL) at Start of Event (library) (feet),P64  Radio Altitude at Start of Event (ft),P64  Height AGL at Start of Event (feet),P64  Height AGL at Start of Event (library) (feet),P64  Height Above Takeoff (best estimate library) at Start of Event (feet),P64  Height AFE at Start of Event (library) (feet),P64  Flap Position at Start of Event (library) (deg+   TED),P64  Slat Position at Start of Event (library) (deg+   LED),P64  Slats Retracted (boolean) at Start of Event (library) (0   retracted),P64  Spoiler Position Average (all spoilers; +  TEU) at Start of Event (degrees),P64  Spoiler Position Average (left; +  TEU) at Start of Event (deg+ TEU),P64  Spoiler Position Average (right; +  TEU) at Start of Event (deg+ TEU),P64  Elevator Position at Start of Event (deg+ TEU),AIRPORT,AIRCRAFT_TYPE,RUNWAY,STAGE,PREDICTED_DISTANCE_FROM_RUNWAY_END,ERROR,ABSOLUTE_ERROR,DISTANCE_FROM_RUNWAY_END
1150885,40.0,-2.977859,1412.125,0.248744,27066.83594,462930.4375,37376.01953,22164.33789,88.265625,500513.0625,3.0,342.070313,0.33201,0.177723,0.318339,0.179676,1.139684,27066.83594,462930.4375,207182.9063,1406.624023,1595.0,1412.125,549.436646,1388.503174,0.125,0.124929,0.124929,2e-05,2e-05,14.25,20.75,1.0,0.254884,0.175782,0.158204,10.590865,OMDB,A330,16,5,6401.22,0.3975906102266027,25.34986184374975,6375.870353
1006892,32.25,2.614811,1430.625,0.241312,26650.78906,401510.8438,28739.61328,21946.60938,89.796875,529673.6875,4.53125,41.484364,0.301562,0.139648,0.292969,0.091797,1.09375,26650.78906,401510.8438,185936.5938,1429.304688,1298.0,1430.625,-986.578247,1408.740967,5.5,5.494862,5.494862,4.577906,4.577906,14.25,20.75,1.0,0.140625,0.140625,0.140625,7.163086,LLBG,A330,10,4,4285.348,2.696800998481541,118.77031046874981,4404.118455
1128111,32.5,-6.747625,1420.25,0.233616,9821.803711,152115.9531,6920.670898,8251.572266,90.65625,164098.7813,6.968304,81.826149,0.331055,0.150391,0.329102,0.111328,1.203993,9821.803711,152115.9531,65172.15625,1426.655273,1472.0,1420.25,1602.630981,1403.117432,2.625,2.625,3.50074,9.489351,9.489351,14.911794,22.0012,1.0,0.010986,0.0,0.021973,7.250977,EGLL,A319/20/21,28,1,4973.8403,2.0687269504912016,100.80969803125026,4873.030634
1155384,45.625,-2.112918,43.75,0.23312,30311.76953,501765.3438,67411.96094,20741.86719,95.398438,458442.5313,2.28125,289.687439,0.260938,0.060547,0.261719,0.039063,1.020833,30311.76953,501765.3438,236461.4063,20.812849,-164.0,43.75,952.894287,9.250807,0.875,0.874658,0.874658,0.357875,0.357875,22.25,23.75,1.0,0.175781,0.175781,0.175781,11.469724,LSZH,A340,08R,6,6070.5317,9.32976890375139,624.6444677187501,6695.176206
1153565,37.875,-17.215834,160.625,0.21483,23538.79492,355261.6563,26453.50781,18502.9375,86.96875,402487.25,17.21875,302.783112,0.310547,0.115234,0.289063,0.099609,1.082031,23538.79492,355261.6563,177009.8906,130.695572,-6.0,160.625,803.208557,119.569695,-0.125,0.0,0.0,1.805417,1.805417,14.25,20.75,1.0,0.158203,0.175781,0.140625,7.382813,LSZH,A330,12,4,5720.4976,6.243335069417802,380.93273740625045,6101.430296
1039649,50.5,-3.83054,700.625,0.245768,31892.08203,527184.25,67411.96094,19163.36719,92.039063,462140.1563,5.84375,40.078114,0.246094,0.032227,0.242188,0.001953,1.036458,31892.08203,527184.25,242411.4844,675.790771,606.0,700.625,53.675781,664.258728,1.5,1.49903,1.49903,1.120126,1.120126,22.25,23.75,1.0,0.146484,0.175781,0.117188,9.492185,LSZH,A340,28,6,6457.884,19.554311451677698,1569.7481519374996,8027.631941
1135908,36.875,-10.895756,1422.625,0.233887,28045.64453,439019.75,55229.41016,23347.30078,93.421875,510544.7188,10.96875,135.966766,0.312109,0.089844,0.3125,0.054688,1.026476,28045.64453,439019.75,212789.2656,1418.691772,1318.0,1422.625,663.94696,1402.328613,-0.375,0.0,0.0,3.796515,3.796515,14.25,20.75,1.0,0.166992,0.175781,0.158203,7.910157,CYUL,A330,32,5,5672.817,1.197697294292704,68.76679246875028,5741.583687
1040362,55.625,-1.030299,165.625,0.24056,35610.42188,575772.5625,87113.08594,19402.86328,92.367188,454437.5625,1.03125,80.419899,0.260547,0.048828,0.261719,0.037109,1.051215,35610.42188,575772.5625,265014.5625,122.686516,116.0,165.625,106.185242,111.908218,1.0,0.999097,0.999097,4.236301,4.236301,22.25,23.75,1.0,0.168457,0.102539,0.234375,11.337888,LSZH,A340,25R,7,7267.488,15.199345886214516,1302.5968000312496,8570.084593
1019353,32.875,0.114896,94.25,0.216504,17859.95117,321766.4063,15186.27637,15592.69141,79.203125,308462.9063,1.5,270.0,0.317558,0.093744,0.306621,0.076167,1.127532,17859.95117,321766.4063,148488.0313,49.420643,121.0,94.25,2003.001343,36.797623,1.375,1.374044,1.374044,1.761745,1.761745,14.25,20.75,1.0,0.29004,0.175782,0.228517,5.449242,OMDB,A330,26,1,5218.922,6.10811304487457,300.4272140000003,4918.494661
1108310,42.375,-3.493413,1435.125,0.254944,26041.35547,505186.2188,56463.19141,22265.94141,89.1875,470560.7813,3.5,338.554688,0.295684,0.103509,0.296856,0.085932,1.068942,26041.35547,505186.2188,222768.3438,1406.031616,1556.0,1435.125,1647.241333,1393.516357,4.25,4.244966,4.244966,7.173765,7.173765,14.25,20.75,1.0,0.254884,0.175782,0.158204,10.502974,KJFK,A330,16,5,7403.105,2.8189065916078184,202.96521446874976,7200.139766
