FLIGHT_ID,P64: Duration of Takeoff (Seconds),HEAD_WIND,MSL_ALT,MACH_NUMBER_START_EVENT,DRAG,LIFT,FUEL_QUANTITY,P64  Wind Speed at Start of Event (library) (knots),P64  Wind Direction (true) at Start of Event (library) (degrees),P64  Mean Longitudinal Acceleration over succeeding interval from Start of Event (g's),P64  Mean Vertical (body normal) Acceleration over succeeding interval from Start of Event (g's),P64  Longitudinal Acceleration at Start of Event (g's),P64  Vertical (body normal) Acceleration at Start of Event (library) (g's),P64  Mean Normal-Load Factor over succeeding interval from Start of Event (g's),P64  Drag (expected clean configuration) at Start of Event (lbs),P64  Lift Expected at Start of Event (lbs),P64  Gross Weight at Start of Event (library) (kg),P64  Corrected MSL Altitude at Start of Event (library) (feet),P64  Pressure Altitude (above MSL) at Start of Event (library) (feet),P64  GPS Altitude (above MSL) at Start of Event (library) (feet),P64  Density Altitude at Start of Event (ft),P64  Geometric Altitude (above MSL) at Start of Event (library) (feet),P64  Radio Altitude at Start of Event (ft),P64  Height AGL at Start of Event (feet),P64  Height AGL at Start of Event (library) (feet),P64  Height Above Takeoff (best estimate library) at Start of Event (feet),P64  Height AFE at Start of Event (library) (feet),P64  Flap Position at Start of Event (library) (deg+   TED),P64  Slat Position at Start of Event (library) (deg+   LED),P64  Slats Retracted (boolean) at Start of Event (library) (0   retracted),P64  Spoiler Position Average (all spoilers; +  TEU) at Start of Event (degrees),P64  Spoiler Position Average (left; +  TEU) at Start of Event (deg+ TEU),P64  Spoiler Position Average (right; +  TEU) at Start of Event (deg+ TEU),P64  Elevator Position at Start of Event (deg+ TEU),P64  Air Temperature (outside) at Start of Event (library) (Deg Celsius),P64  Air Temperature (total best available) at Start of Event (library) (Deg Celsius),DISTANCE_FROM_RUNWAY_END,RUNWAY_CALCULATED_GRADIENT,P64: Pressure Altitude at the Start of Takeoff (ft),P64: Corrected Altitude at Liftoff (feet),P64: Best Available MSL Altitude at Liftoff (feet),P64: GPS Altitude at Liftoff (ft),P64: V1 for Takeoff Configuration (knots),P64: V2 for Takeoff Configuration (knots),P64: Airspeed (calibrated) at Start of Rotation (knots),P64: Airspeed (calibrated) at Liftoff (knots),P64: VR for Takeoff Configuration (knots),P64: Vmu for Takeoff Configuration (knots),P64: True Airspeed at Liftoff (knots).1,P64: Pitch Attitude at Liftoff (deg),HEAD_WIND_KNOTS_TWENTY_POINT_LAGGING_AVERAGE,HEAD_WIND_KNOTS_during_stated_takeoff_ground_roll,FLAP_POSITION_DEGREES_during_stated_takeoff_ground_roll,FLAP_POSITION_DEGREES_std_during_stated_takeoff_ground_roll,TAKEOFF_GROUND_ROLL_DISTANCE_STATED_(FEET),RUNWAY_CALCULATED_GRADIENT_degraded,GROSS_WEIGHT_KILOGRAMS_rollstart,FLAP_POSITION_DEGREES,MSL_ALT_degraded,AIR_TEMP_OUTSIDE_CELSIUS,AIRPORT,RUNWAY,STAGE,AIRCRAFT_TYPE,PREDICTED_N1,ERROR,ABSOLUTE_ERROR,N1
1115381,52.0,-13.016036,1416.875,0.228656,34171.167969,524008.21875,82432.710938,13.0625,330.556549,0.269531,-0.004883,0.255859,-0.013672,0.998264,34171.167969,524008.21875,255182.40625,1400.120605,1179.0,1416.875,1476.623779,1385.927612,-0.75,0.000768,0.000768,-6.1e-05,-6.1e-05,22.25,23.75,1.0,0.109863,0.117188,0.102539,11.337888,15.25,18.5,8580.97764953459,-0.0005354642062772,1237.166626,1400.120605,1400.120605,1416.875,134.0,154.0,148.75,155.3125,144.0,155.3125,158.1875,10.239257,-2.9803858,-0.3269266153846154,22.25,0.0,8076.221839190691,-0.0,255460.800934,22.25,1400.0,15.25,KMIA,16,6,A340-3_2CM015,92.486465,1.6673518133391036,1.5682225458984362,94.054688
1140610,44.0,-7.659608,1416.75,0.24354,25913.992188,402587.375,51636.957031,7.71875,328.886627,0.262891,0.079102,0.269531,0.019531,0.99783,25913.992188,402587.375,205314.0625,1404.100708,1191.0,1416.75,988.381104,1388.405518,-0.375,0.0,0.0,-1.9e-05,-1.9e-05,14.25,20.75,1.0,0.166992,0.175781,0.158203,5.581055,11.0,14.5,6686.62056667724,-0.0005354642062772,1286.166626,1404.100708,1404.100708,1416.75,149.800003,155.0,152.5,159.9375,151.0,151.0,162.3125,7.558593,-4.35961665,-1.9852427727272728,14.25,0.0,6374.115623000146,-0.0,205546.107559,14.25,1400.0,11.0,CYUL,16,5,A330-2_4PW067,67.17052,24.77842369313211,22.126358032226562,89.296875
1019743,29.75,-5.546233,106.5,0.211792,8871.439453,121312.0625,7907.493164,4.21848,353.408112,0.293555,0.046875,0.291992,0.023438,1.06467,8871.439453,121312.0625,59583.898438,123.537445,-61.0,106.5,-1018.020935,103.426132,-1.75,-1.75,0.014963,4.243886,4.243886,14.919977,22.0012,1.0,0.010986,0.0,0.021973,5.712891,7.25,9.75,6903.18787376212,-0.0018282551294328,-17.5,119.293556,119.293556,106.0,126.800003,132.0,134.0,141.25,132.5,132.5,139.0,7.207029,-0.82931285,-0.3680008,14.919977,0.0,3894.53570706959,-0.0,59636.193345,14.919977,100.0,7.25,LSZH,19R,2,A320-2_3CM021,88.63209,7.148727111470533,5.913337707519531,82.71875
1106095,44.875,-4.633618,1419.375,0.256432,24841.25,491259.78125,63738.816406,1.5,0.0,0.279279,0.09765,0.269514,0.11718,1.002106,24841.25,491259.78125,230533.84375,1400.72229,1172.0,1419.375,1320.977661,1390.239746,0.625,2.749352,2.749352,0.686809,0.686809,14.25,20.75,1.0,0.254884,0.175782,0.158204,9.843792,14.0,18.0,7460.95839665441,-0.0005354642062772,1239.666626,1400.035522,1400.035522,1416.5,151.800003,157.0,159.0,165.3125,157.5,157.5,167.625,8.525427,-0.4862588,-0.1131457333333333,14.25,0.0,7173.694868829119,-0.0,230792.600281,14.25,1400.0,14.0,KJFK,16,5,A330-3_4PW067,100.45747,10.926126989518634,9.894973754882812,90.5625
1110065,44.25,-0.445851,28.25,0.251472,21609.470703,462341.46875,43163.863281,0.0,0.0,0.26717,0.116204,0.267561,0.101556,1.077622,21609.470703,462341.46875,204461.34375,38.288548,372.0,28.25,2336.509033,24.956974,4.0,3.997489,3.997489,0.8679,0.8679,14.25,20.75,1.0,0.395509,0.316408,0.158204,6.943389,31.5,35.25,7823.34549586694,-0.001676318195672,433.333344,37.420647,37.420647,18.75,147.800003,153.0,154.6875,164.1875,153.1875,153.1875,169.5625,7.91019,-0.02229255,0.0,14.25,0.0,7278.097693011725,-0.0,204682.305649,14.25,0.0,31.5,LSZH,30R,5,A330-3_4PW067,94.045334,10.763735134109313,9.139083862304688,84.90625
1027050,49.875,-4.786695,1419.625,0.233864,34066.65625,505171.46875,74305.539063,7.53125,25.488276,0.25625,0.041992,0.265625,0.03125,0.985243,34066.65625,505171.46875,243862.734375,1401.263672,1304.0,1419.625,888.401062,1388.939087,-0.25,0.0,0.0,1.789402,1.789402,22.25,23.75,1.0,1.069336,0.175781,1.962891,10.458982,9.0,12.25,7418.00540079016,-0.0005354642062772,1355.666626,1399.474243,1399.474243,1416.625,133.0,151.0,147.5,152.5625,142.0,152.5625,154.5625,9.404296,0.6660904,0.7073738199999999,22.25,0.0,7094.398881566349,-0.0,244114.576981,22.25,1400.0,9.0,KMIA,16,6,A340-3_2CM015,95.069115,4.025018632992819,3.6784896850585938,91.390625
1114072,46.375,-1.168224,40.625,0.253704,21956.162109,461355.53125,44270.628906,0.0,0.0,0.264436,0.144522,0.263655,0.124992,1.098454,21956.162109,461355.53125,201268.0625,52.261307,287.0,40.625,2011.144165,62.933483,4.5,4.496553,4.496553,2.644926,2.644926,14.25,20.75,1.0,0.254884,0.175782,0.158204,7.778354,29.5,33.0,8546.41687645509,0.0033582345281337,305.5,49.616379,49.616379,38.125,153.800003,159.0,161.0625,165.6875,159.5625,159.5625,170.375,8.173862,-0.0584112,0.0,14.25,0.0,8020.884601554554,0.0,201490.167282,14.25,0.0,29.5,LSZH,12R,5,A330-3_4PW067,93.19522,12.030318193557475,10.007720947265625,83.1875
1028983,49.25,16.04059,146.5,0.261392,36228.246094,607114.75,93426.15625,16.09375,267.36322,0.242578,0.09082,0.246094,0.140625,1.046007,36228.246094,607114.75,271037.1875,123.645134,271.0,146.5,-60.088348,114.841904,4.25,4.247989,4.247989,1.052241,1.052241,22.25,23.75,1.0,0.175781,0.205078,0.146484,11.469724,11.75,15.75,7330.58954068768,-0.0002916869227029,308.0,122.592896,122.592896,141.0,137.0,159.0,154.9375,167.875,148.0,163.209229,163.4375,9.93164,15.362779,14.566223469387756,22.25,0.0,6868.556235024398,-0.0,271340.061035,22.25,100.0,11.75,LSZH,24L,7,A340-3_2CM015,95.257515,0.8863443825191025,0.8518600463867188,96.109375
1020090,33.5,-5.645982,1394.5,0.239072,10048.427734,146759.5,9024.920898,6.999552,173.75972,0.294727,0.121094,0.293945,0.101563,1.12283,10048.427734,146759.5,67784.84375,1418.277954,1241.0,1394.5,-452.672302,1405.55835,4.75,4.75,4.748733,1.711874,1.711874,14.911794,21.997646,1.0,0.043945,0.021973,0.065918,6.152344,-1.25,2.0,5044.68020818741,0.0003602128395742,1287.833374,1416.56604,1416.56604,1392.0,134.800003,140.0,140.125,154.5,138.625,138.625,150.0,8.349607,-0.97037595,-0.4170162727272727,14.911794,0.0,4640.876331096881,0.0,67854.66613,14.911794,1400.0,-1.25,ESSA,32,2,A320-2_3CM021,89.581604,1.2579063272695161,1.11285400390625,88.46875
1012213,50.375,-9.177638,50.75,0.232624,33085.175781,514555.0625,62840.425781,9.375,254.794861,0.267578,0.089844,0.271484,0.072266,1.082465,33085.175781,514555.0625,233613.34375,22.05521,-147.0,50.75,223.549255,10.626575,1.875,1.873798,1.873798,1.045754,1.045754,22.25,23.75,1.0,0.153809,0.146484,0.161133,11.909177,18.5,21.75,7733.47721202994,3.80734818199125e-05,-109.166664,21.009457,21.009457,44.0,133.0,148.0,142.75,154.0625,140.5,151.486938,154.625,9.448241,-3.93856145,-2.00929168,22.25,0.0,7372.664557585002,0.0,233871.164459,22.25,100.0,18.5,LSZH,08R,6,A340-3_2CM015,91.89226,1.345933003403412,1.2203826904296875,90.671875
